"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 17:06:33 IST 2023","Wed Dec 27 17:07:02 IST 2023","29256","Suite9","Test9","cuesz.membersummarytest.advocate.Case19_MS_Preferencestest","cuesz.membersummarytest.advocate.Case19_MS_Preferencestest","advocatepreferenceTest","advocatepreferenceTest","Operating System: Mac OS X (Version: 14.0)"
"broken","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case22_MS_speheres_Overridetest","cuesz.membersummarytest.advocate.Case22_MS_speheres_Overridetest","setUp","setUp",""
"broken","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case30_MS_Deletenewgoaltest","cuesz.membersummarytest.advocate.Case30_MS_Deletenewgoaltest","setUp","setUp",""
"broken","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case23_MS_performactivitytest","cuesz.membersummarytest.advocate.Case23_MS_performactivitytest","setUp","setUp",""
"passed","Wed Dec 27 16:48:32 IST 2023","Wed Dec 27 16:49:26 IST 2023","53423","Suite7","Test7","cuesz.logictest.advocate.Case38_MSL_Notificationtest","cuesz.logictest.advocate.Case38_MSL_Notificationtest","advocatelogicmemberTest","advocatelogicmemberTest","Operating System: Mac OS X (Version: 14.0)"
"skipped","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case34_01_MS_VO2assigntomembertest","cuesz.membersummarytest.advocate.Case34_01_MS_VO2assigntomembertest","advocatebodyscanresultTest","advocatebodyscanresultTest","Verify the click on Vo2 Result functionlaity ."
"broken","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case33_MS_Uploadposturetest","cuesz.membersummarytest.advocate.Case33_MS_Uploadposturetest","setUp","setUp",""
"skipped","Wed Dec 27 17:11:28 IST 2023","Wed Dec 27 17:11:28 IST 2023","1","Suite9","Test9","cuesz.membersummarytest.advocate.Case22_MS_speheres_Overridetest","cuesz.membersummarytest.advocate.Case22_MS_speheres_Overridetest","advocateoverridefeatureTest","advocateoverridefeatureTest","Verify the set override features functionlaity ."
"passed","Wed Dec 27 16:56:52 IST 2023","Wed Dec 27 16:59:26 IST 2023","154418","Suite7","Test7","cuesz.logictest.advocate.Case43_1_MSL_Fuelperformtest","cuesz.logictest.advocate.Case43_1_MSL_Fuelperformtest","advocatelogicmemberTest","advocatelogicmemberTest","Operating System: Mac OS X (Version: 14.0)"
"skipped","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case31_MS_Avtarclicktest","cuesz.membersummarytest.advocate.Case31_MS_Avtarclicktest","advocateAvtarclcikTest","advocateAvtarclcikTest","Verify the click on Avatar functionlaity ."
"skipped","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case81_MS_Sleeptimetest","cuesz.membersummarytest.advocate.Case81_MS_Sleeptimetest","advocateScheduleEventTest","advocateScheduleEventTest","Verify the drodown list for Sleeptime."
"broken","Wed Dec 27 17:11:29 IST 2023","Wed Dec 27 17:11:29 IST 2023","0","Suite9","Test9","cuesz.membersummarytest.advocate.Case71_MS_bodyscancomparetest","cuesz.membersummarytest.advocate.Case71_MS_bodyscancomparetest","setUp","setUp",""
